Contract Code,Metric,Value1,Value2,Value3,Value4,Value5,Date
SGZH-12.24,Открытые позиции,110074,236353,126528,249,473204,2024-12-20
SGZH-12.24,Изменение,-8406,-91202,-123424,-40628,-263660,2024-12-20
SGZH-12.24,Количество лиц,835,678,9,3,1525,2024-12-20
GAZR-12.24,Открытые позиции,203799,63545,633859,774113,1675316,2024-12-20
GMKN-12.24,Изменение,-50577,-30213,-65681,-86045,-232516,2024-12-20
GAZR-12.24,Количество лиц,2838,882,53,38,3811,2024-12-20
GMKN-12.24,Открытые позиции,273085,106521,334113,500677,1214396,2024-12-20
MVID-12.24,Изменение,1608,-9445,-10304,749,-17392,2024-12-20
GMKN-12.24,Количество лиц,1038,398,10,51,1497,2024-12-20
SBRF-12.24,Открытые позиции,187579,157903,432048,461724,1239254,2024-12-20
MGNT-12.24,Изменение,-11876,2125,-4974,-18975,-33700,2024-12-20
SBRF-12.24,Количество лиц,3613,1834,67,63,5577,2024-12-20
SMLT-12.24,Открытые позиции,261721,231171,12111,42661,547664,2024-12-20
GAZPF,Изменение,5974,756,-4278,940,3392,2024-12-20
SMLT-12.24,Количество лиц,1007,761,7,7,1782,2024-12-20
VTBR-12.24,Открытые позиции,99247,23276,205648,281619,609790,2024-12-20
SBRF-12.24,Изменение,3557,-9938,-3920,9575,-726,2024-12-20
VTBR-12.24,Количество лиц,1578,574,27,20,2199,2024-12-20
YDEX-12.24,Открытые позиции,153440,45080,36840,145200,380560,2024-12-20
BANE-12.24,Изменение,-1549,-3718,-2266,-97,-7630,2024-12-20
YDEX-12.24,Количество лиц,1184,419,14,39,1656,2024-12-20
MGNT-12.24,Открытые позиции,44806,18931,24941,50816,139494,2024-12-20
VKCO-12.24,Изменение,-4833,-3316,-2111,-3628,-13888,2024-12-20
MGNT-12.24,Количество лиц,781,344,10,22,1157,2024-12-20
GAZPF,Открытые позиции,70642,35453,7322,42511,155928,2024-12-20
PIKK-12.24,Изменение,3218,4192,-1191,-2165,4054,2024-12-20
GAZPF,Количество лиц,1142,158,2,15,1317,2024-12-20
TRNF-12.24,Открытые позиции,128556,28305,5034,105285,267180,2024-12-20
RASP-12.24,Изменение,-174,-1643,-935,534,-2218,2024-12-20
TRNF-12.24,Количество лиц,830,179,4,25,1038,2024-12-20
VKCO-12.24,Открытые позиции,38463,24804,2984,16643,82894,2024-12-20
MAGN-12.24,Изменение,-1339,-708,-479,-1110,-3636,2024-12-20
VKCO-12.24,Количество лиц,618,402,6,22,1048,2024-12-20
ALRS-12.24,Открытые позиции,23862,13269,97085,107678,241894,2024-12-20
PLZL-12.24,Изменение,303,-200,-406,97,-206,2024-12-20
ALRS-12.24,Количество лиц,484,258,20,27,789,2024-12-20
LKOH-12.24,Открытые позиции,8399,18546,57280,47133,131358,2024-12-20
POSI-12.24,Изменение,-366,-2538,-349,1823,-1430,2024-12-20
LKOH-12.24,Количество лиц,626,552,10,40,1228,2024-12-20
RTKM-12.24,Открытые позиции,15099,5933,88449,97615,207096,2024-12-20
SFIN-12.24,Изменение,-657,303,-266,-1226,-1846,2024-12-20
RTKM-12.24,Количество лиц,287,157,13,19,476,2024-12-20
MVID-12.24,Открытые позиции,46971,70792,26979,3158,147900,2024-12-20
SNGP-12.24,Изменение,-1295,-80,-185,-1400,-2960,2024-12-20
MVID-12.24,Количество лиц,229,252,6,8,495,2024-12-20
RNFT-12.24,Открытые позиции,32729,12842,2649,22536,70756,2024-12-20
TATN-12.24,Изменение,-362,-610,-156,92,-1036,2024-12-20
RNFT-12.24,Количество лиц,261,126,3,14,404,2024-12-20
LEAS-12.24,Открытые позиции,15979,16686,6160,5453,44278,2024-12-20
AFLT-12.24,Изменение,-359,2560,-135,-3054,-988,2024-12-20
LEAS-12.24,Количество лиц,173,83,7,7,270,2024-12-20
MTLR-12.24,Открытые позиции,14565,24231,18038,8372,65206,2024-12-20
MTSI-12.24,Изменение,-532,272,-131,-935,-1326,2024-12-20
MTLR-12.24,Количество лиц,421,432,6,18,877,2024-12-20
SBERF,Открытые позиции,46607,7177,2990,42420,99194,2024-12-20
SBPR-12.24,Изменение,203,273,-127,-197,152,2024-12-20
SBERF,Количество лиц,1269,217,7,16,1509,2024-12-20
PIKK-12.24,Открытые позиции,16742,38336,22964,1370,79412,2024-12-20
RUAL-12.24,Изменение,-2509,831,-90,-3430,-5198,2024-12-20
PIKK-12.24,Количество лиц,171,538,6,8,723,2024-12-20
AFLT-12.24,Открытые позиции,20008,17923,5188,7273,50392,2024-12-20
CHMF-12.24,Изменение,-35,-24,-47,-58,-164,2024-12-20
AFLT-12.24,Количество лиц,372,305,11,15,703,2024-12-20
BANE-12.24,Открытые позиции,6105,14190,8278,193,28766,2024-12-20
